#OTU ID	sampleID_1	sampleID_1a	sampleID_2	sampleID_2a
ASV_1	150	4	304	1
ASV_10	0	37	0	36
ASV_100	6	0	0	3
ASV_101	3	0	5	1
ASV_102	6	0	4	0
ASV_103	0	5	0	2
ASV_104	0	5	1	9
ASV_105	0	3	0	5
ASV_106	0	6	0	2
ASV_107	0	6	2	8
ASV_108	0	4	0	4
ASV_109	0	2	0	6
ASV_11	33	1	26	10
ASV_110	0	3	4	1
ASV_111	0	2	0	5
ASV_112	0	6	2	5
ASV_113	7	1	2	0
ASV_114	1	1	5	0
ASV_115	2	0	4	0
ASV_116	1	0	5	0
ASV_117	2	0	4	1
ASV_118	5	0	3	0
ASV_119	4	0	4	0
ASV_12	0	34	0	45
ASV_120	5	0	2	0
ASV_121	3	3	2	4
ASV_122	2	0	8	0
ASV_123	4	0	2	0
ASV_124	4	0	5	2
ASV_125	0	6	0	6
ASV_126	1	11	3	5
ASV_127	0	9	0	2
ASV_128	0	2	0	5
ASV_129	0	4	0	3
ASV_13	22	3	32	4
ASV_130	0	1	0	5
ASV_131	0	6	1	7
ASV_132	0	4	0	2
ASV_133	0	5	1	2
ASV_134	0	4	0	3
ASV_135	0	2	0	4
ASV_136	0	10	0	2
ASV_137	0	4	0	3
ASV_138	0	3	2	1
ASV_139	0	3	0	3
ASV_14	0	29	0	35
ASV_140	0	6	0	0
ASV_141	0	3	1	5
ASV_142	1	3	2	4
ASV_143	0	0	6	0
ASV_144	0	0	7	0
ASV_145	1	6	1	1
ASV_146	1	0	7	0
ASV_147	1	0	4	0
ASV_148	5	0	0	0
ASV_149	2	0	3	0
ASV_15	17	4	38	1
ASV_150	3	1	0	1
ASV_151	2	0	4	0
ASV_152	5	0	2	0
ASV_153	4	5	0	1
ASV_154	1	0	4	0
ASV_155	0	3	0	3
ASV_156	0	2	0	5
ASV_157	0	1	0	4
ASV_158	0	4	0	3
ASV_159	0	4	0	1
ASV_16	1	22	5	26
