ASV_ID	genus	species	marker_gene	reference_hit	percent_identity
ASV_1	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	86.20
ASV_2	Unclassified	Unclassified	NA	NA	NA
ASV_3	Unclassified	Unclassified	NA	NA	NA
ASV_4	Salmonella	enterica	16S	Salmonella_enterica_16S_6x_2-3-4-5-6	86.20
ASV_5	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	83.00
ASV_6	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	95.30
ASV_7	Salmonella	enterica	16S	Salmonella_enterica_16S_6x_2-3-4-5-6	86.20
ASV_8	Unclassified	Unclassified	NA	NA	NA
ASV_9	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	81.80
ASV_10	Unclassified	Unclassified	NA	NA	NA
ASV_11	Salmonella	enterica	16S	Salmonella_enterica_16S_1	83.00
ASV_12	Unclassified	Unclassified	NA	NA	NA
ASV_13	Unclassified	Unclassified	NA	NA	NA
ASV_14	Unclassified	Unclassified	NA	NA	NA
ASV_15	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	80.20
ASV_16	Unclassified	Unclassified	NA	NA	NA
ASV_17	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	94.50
ASV_18	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	85.00
ASV_19	Unclassified	Unclassified	NA	NA	NA
ASV_20	Unclassified	Unclassified	NA	NA	NA
ASV_21	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	84.60
ASV_22	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	87.70
ASV_23	Unclassified	Unclassified	NA	NA	NA
ASV_24	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	87.00
ASV_25	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	88.90
ASV_26	Salmonella	enterica	16S	Salmonella_enterica_16S_1	80.20
ASV_27	Unclassified	Unclassified	NA	NA	NA
ASV_28	Unclassified	Unclassified	NA	NA	NA
ASV_29	Unclassified	Unclassified	NA	NA	NA
ASV_30	Unclassified	Unclassified	NA	NA	NA
ASV_31	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	85.00
ASV_32	Unclassified	Unclassified	NA	NA	NA
ASV_33	Unclassified	Unclassified	NA	NA	NA
ASV_34	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	96.00
ASV_35	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	88.10
ASV_36	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	81.80
ASV_37	Unclassified	Unclassified	NA	NA	NA
ASV_38	Unclassified	Unclassified	NA	NA	NA
ASV_39	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	85.80
ASV_40	Unclassified	Unclassified	NA	NA	NA
ASV_41	Unclassified	Unclassified	NA	NA	NA
ASV_42	Unclassified	Unclassified	NA	NA	NA
ASV_43	Unclassified	Unclassified	NA	NA	NA
ASV_44	Unclassified	Unclassified	NA	NA	NA
ASV_45	Unclassified	Unclassified	NA	NA	NA
ASV_46	Listeria	monocytogenes	16S	Listeria_monocytogenes_16S_4x_1-4-5-6	80.60
ASV_47	Unclassified	Unclassified	NA	NA	NA
ASV_48	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	94.50
ASV_49	Unclassified	Unclassified	NA	NA	NA
ASV_50	Unclassified	Unclassified	NA	NA	NA
ASV_51	Bacillus	subtilis	16S	Bacillus_subtilis_16S_4x_1-8-9-10	81.00
ASV_52	Unclassified	Unclassified	NA	NA	NA
ASV_53	Unclassified	Unclassified	NA	NA	NA
ASV_54	Unclassified	Unclassified	NA	NA	NA
ASV_55	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	87.70
ASV_56	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	86.20
ASV_57	Unclassified	Unclassified	NA	NA	NA
ASV_58	Salmonella	enterica	16S	Salmonella_enterica_16S_1	81.40
ASV_59	Unclassified	Unclassified	NA	NA	NA
ASV_60	Unclassified	Unclassified	NA	NA	NA
ASV_61	Unclassified	Unclassified	NA	NA	NA
ASV_62	Unclassified	Unclassified	NA	NA	NA
ASV_63	Unclassified	Unclassified	NA	NA	NA
ASV_64	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	87.70
ASV_65	Unclassified	Unclassified	NA	NA	NA
ASV_66	Unclassified	Unclassified	NA	NA	NA
ASV_67	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	84.60
ASV_68	Unclassified	Unclassified	NA	NA	NA
ASV_69	Unclassified	Unclassified	NA	NA	NA
ASV_70	Unclassified	Unclassified	NA	NA	NA
ASV_71	Unclassified	Unclassified	NA	NA	NA
ASV_72	Unclassified	Unclassified	NA	NA	NA
ASV_73	Unclassified	Unclassified	NA	NA	NA
ASV_74	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	86.20
ASV_75	Unclassified	Unclassified	NA	NA	NA
ASV_76	Unclassified	Unclassified	NA	NA	NA
ASV_77	Unclassified	Unclassified	NA	NA	NA
ASV_78	Unclassified	Unclassified	NA	NA	NA
ASV_79	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	89.70
ASV_80	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	87.40
ASV_81	Unclassified	Unclassified	NA	NA	NA
ASV_82	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	82.20
ASV_83	Listeria	monocytogenes	16S	Listeria_monocytogenes_16S_4x_1-4-5-6	80.60
ASV_84	Unclassified	Unclassified	NA	NA	NA
ASV_85	Unclassified	Unclassified	NA	NA	NA
ASV_86	Unclassified	Unclassified	NA	NA	NA
ASV_87	Unclassified	Unclassified	NA	NA	NA
ASV_88	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	98.00
ASV_89	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	87.40
ASV_90	Salmonella	enterica	16S	Salmonella_enterica_16S_6x_2-3-4-5-6	86.20
ASV_91	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	80.20
ASV_92	Unclassified	Unclassified	NA	NA	NA
ASV_93	Unclassified	Unclassified	NA	NA	NA
ASV_94	Unclassified	Unclassified	NA	NA	NA
ASV_95	Unclassified	Unclassified	NA	NA	NA
ASV_96	Unclassified	Unclassified	NA	NA	NA
ASV_97	Unclassified	Unclassified	NA	NA	NA
ASV_98	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	80.20
ASV_99	Unclassified	Unclassified	NA	NA	NA
ASV_100	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	86.20
ASV_101	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	82.20
ASV_102	Unclassified	Unclassified	NA	NA	NA
ASV_103	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	80.20
ASV_104	Unclassified	Unclassified	NA	NA	NA
ASV_105	Unclassified	Unclassified	NA	NA	NA
ASV_106	Unclassified	Unclassified	NA	NA	NA
ASV_107	Unclassified	Unclassified	NA	NA	NA
ASV_108	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	82.20
ASV_109	Listeria	monocytogenes	16S	Listeria_monocytogenes_16S_4x_1-4-5-6	81.80
ASV_110	Unclassified	Unclassified	NA	NA	NA
ASV_111	Unclassified	Unclassified	NA	NA	NA
ASV_112	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	83.00
ASV_113	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	84.60
ASV_114	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	94.90
ASV_115	Unclassified	Unclassified	NA	NA	NA
ASV_116	Unclassified	Unclassified	NA	NA	NA
ASV_117	Listeria	monocytogenes	16S	Listeria_monocytogenes_16S_4x_1-4-5-6	81.80
ASV_118	Unclassified	Unclassified	NA	NA	NA
ASV_119	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	96.80
ASV_120	Unclassified	Unclassified	NA	NA	NA
ASV_121	Unclassified	Unclassified	NA	NA	NA
ASV_122	Unclassified	Unclassified	NA	NA	NA
ASV_123	Unclassified	Unclassified	NA	NA	NA
ASV_124	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	84.20
ASV_125	Unclassified	Unclassified	NA	NA	NA
ASV_126	Unclassified	Unclassified	NA	NA	NA
ASV_127	Unclassified	Unclassified	NA	NA	NA
ASV_128	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	81.40
ASV_129	Unclassified	Unclassified	NA	NA	NA
ASV_130	Unclassified	Unclassified	NA	NA	NA
ASV_131	Unclassified	Unclassified	NA	NA	NA
ASV_132	Unclassified	Unclassified	NA	NA	NA
ASV_133	Unclassified	Unclassified	NA	NA	NA
ASV_134	Unclassified	Unclassified	NA	NA	NA
ASV_135	Listeria	monocytogenes	16S	Listeria_monocytogenes_16S_4x_1-4-5-6	80.60
ASV_136	Unclassified	Unclassified	NA	NA	NA
ASV_137	Unclassified	Unclassified	NA	NA	NA
ASV_138	Unclassified	Unclassified	NA	NA	NA
ASV_139	Unclassified	Unclassified	NA	NA	NA
ASV_140	Unclassified	Unclassified	NA	NA	NA
ASV_141	Unclassified	Unclassified	NA	NA	NA
ASV_142	Salmonella	enterica	16S	Salmonella_enterica_16S_6x_2-3-4-5-6	84.20
ASV_143	Unclassified	Unclassified	NA	NA	NA
ASV_144	Salmonella	enterica	16S	Salmonella_enterica_16S_1	82.60
ASV_145	Unclassified	Unclassified	NA	NA	NA
ASV_146	Unclassified	Unclassified	NA	NA	NA
ASV_147	Salmonella	enterica	16S	Salmonella_enterica_16S_1	83.40
ASV_148	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	81.40
ASV_149	Unclassified	Unclassified	NA	NA	NA
ASV_150	Unclassified	Unclassified	NA	NA	NA
ASV_151	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	80.60
ASV_152	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	95.30
ASV_153	Unclassified	Unclassified	NA	NA	NA
ASV_154	Unclassified	Unclassified	NA	NA	NA
ASV_155	Unclassified	Unclassified	NA	NA	NA
ASV_156	Unclassified	Unclassified	NA	NA	NA
ASV_157	Unclassified	Unclassified	NA	NA	NA
ASV_158	Unclassified	Unclassified	NA	NA	NA
ASV_159	Unclassified	Unclassified	NA	NA	NA
ASV_160	Unclassified	Unclassified	NA	NA	NA
ASV_161	Unclassified	Unclassified	NA	NA	NA
ASV_162	Unclassified	Unclassified	NA	NA	NA
ASV_163	Unclassified	Unclassified	NA	NA	NA
ASV_164	Unclassified	Unclassified	NA	NA	NA
ASV_165	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	84.20
ASV_166	Unclassified	Unclassified	NA	NA	NA
ASV_167	Listeria	monocytogenes	16S	Listeria_monocytogenes_16S_4x_1-4-5-6	80.20
ASV_168	Unclassified	Unclassified	NA	NA	NA
ASV_169	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	81.80
ASV_170	Unclassified	Unclassified	NA	NA	NA
ASV_171	Unclassified	Unclassified	NA	NA	NA
ASV_172	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	84.20
ASV_173	Unclassified	Unclassified	NA	NA	NA
ASV_174	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	87.40
ASV_175	Unclassified	Unclassified	NA	NA	NA
ASV_176	Unclassified	Unclassified	NA	NA	NA
ASV_177	Unclassified	Unclassified	NA	NA	NA
ASV_178	Unclassified	Unclassified	NA	NA	NA
ASV_179	Listeria	monocytogenes	16S	Listeria_monocytogenes_16S_4x_1-4-5-6	80.60
ASV_180	Unclassified	Unclassified	NA	NA	NA
ASV_181	Unclassified	Unclassified	NA	NA	NA
ASV_182	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	80.60
ASV_183	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	94.50
ASV_184	Unclassified	Unclassified	NA	NA	NA
ASV_185	Unclassified	Unclassified	NA	NA	NA
ASV_186	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	82.60
ASV_187	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	86.60
ASV_188	Listeria	monocytogenes	16S	Listeria_monocytogenes_16S_4x_1-4-5-6	85.80
ASV_189	Unclassified	Unclassified	NA	NA	NA
ASV_190	Unclassified	Unclassified	NA	NA	NA
ASV_191	Unclassified	Unclassified	NA	NA	NA
ASV_192	Salmonella	enterica	16S	Salmonella_enterica_16S_1	85.00
ASV_193	Unclassified	Unclassified	NA	NA	NA
ASV_194	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	82.60
ASV_195	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	81.80
ASV_196	Unclassified	Unclassified	NA	NA	NA
ASV_197	Unclassified	Unclassified	NA	NA	NA
ASV_198	Unclassified	Unclassified	NA	NA	NA
ASV_199	Listeria	monocytogenes	16S	Listeria_monocytogenes_16S_4x_1-4-5-6	96.80
ASV_200	Unclassified	Unclassified	NA	NA	NA
ASV_201	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	87.40
ASV_202	Unclassified	Unclassified	NA	NA	NA
ASV_203	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	86.60
ASV_204	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	87.00
ASV_205	Unclassified	Unclassified	NA	NA	NA
ASV_206	Unclassified	Unclassified	NA	NA	NA
ASV_207	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	80.20
ASV_208	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	82.60
ASV_209	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	97.20
ASV_210	Unclassified	Unclassified	NA	NA	NA
